,Review,Calification
0,"No me gusto para nada su manera de enseñar, era muy extraño intimidante y estricto, dejo por fuera del primer parcial a las personas que llegaron como 5 minutos tarde, casi no se le entendia lo que exlpicaba y se debia estudiar fuera de claseCons: Muy extraño
Muy estricto
Casi no se le entendia nada",2
1,"Explica for dummies pero califica nivel experto, es muy paila ver una materia con este señor, divaga mucho y no califica de manera justa.Pros: Ayuda con la nota del primer parcialCons: Parciales muy jodos y no explica a profundidad.",3
2,"Maneja bastante bien el tema y resolvía la mayoría de dudas que se generaban . Aunque algunas ocasiones se desviaba del tema y empezaba a hablar de su vida.Es estricto con la puntualidad, si uno llegaba 5 minutos tarde el día del parcial lo dejaba por fuera. 



Pros: Maneja bien el tema
Resuelve dudas
Da ayuda en el segundo parcial
Cons: No se notaba preparacion en las clases 
Tiene que estudiar por cuenta suya bastante para pasar la materia
Los parciales son jodidos
",3
3,"un profesor unico la verdad, como muchos dicen a veces divaga, es estricto y puede ser muy cortante con como califica puntos, sin embargo dio clases excelentes, se avanzaba bien en el tema se planteaban ejercicos complejos pero manejables siempre se preocupo porque uno aprendiera, y aunque a veces hacia comentarios causticos, para el buen entendend...Leer más...Pros: senti que valio la pena mi esfuerzo a lo largo del semestreCons: estricto y no se guia demasiado por libros guia, me gustaría que compartiera mas los libros que usa para preparar la clase pues a veces explica muy rapido y si uno no llega sabiendo ya el bosquejo se puede perder",4.4
4,"Pros: Explica muy bien
Tiene clara la temática
Organizado en el tablero
Cons: La forma de calificar me pareció pésima. Si el resultado final está mal, tiene 0 en el punto y puede que se haya desarrollado el parcial pero es posible sacarse 0 si las respuestas no son las correctas.",3.9
5,"En general explicaba bien pero solía divagar, lo cual complicaba en buen medida apropiarse de los temas. Algunos de estos fueron muy densos y era muy necesario trabajar para aprenderlos. Para los parciales había que estudiar bastante y no se dejaban muy altos. 

Con las otras notas aparte de parciales daba ayudas, en especial para el segundo parcia...Leer más...Pros: Domina el tema.Cons: Explica regular y divaga.",3.5
6,"Dicen y he comprobado que el es un genio de las matemáticas. Pero como docente no tiene donde estar. El se dedica a copiar en el tablero del Kolman-Grossman y le habla al mismo, para dar cursos introductorios no creo que sea el mejor de las opciones. Los parciales de él son posibles dejarlos en cinco si uno estudia por su cuenta, pero la verdad no se le entiende nada Pros: - Evalúa lo que enseña
- Solamente da teoría y profundiza lo suficienteCons: - No saber como dar una clase
- Difícilmente se hace entender, incluso extra-clase",1
7,"Las clases son muy aburridas pero el se esfuerza mucho por explicar todo el tema. Escribe demasiado y muy rápido por lo que es mejor sólo tomar apuntes de lo importante. Resuelve cualquier duda sin importar lo boba que sea. Los parciales son dificiles y como sus clases son tan extensas en tema es mejor estudiar por cuenta propia. Deja trabajos en g...Leer más...Pros: Deja trabajos en grupo
Quices en grupo
Es amableCons: Muy aburrido
Escribe demasiado
",4
8,"Es un profesor que maneja perfectamente el tema y que realiza muy buenos ejemplos, pero a pesar de esto no se le entiende mucho ya que corre en la clase y no voltea a ver a los estudiantes casi nunca. Lo mejor es hacerle todas las preguntas posibles ya que las responde de buena manera todas. Pros: Excelente manejo del tema.Cons: Pésima metodología de clase.",3.5
9,"A pesar de que sabe y lo demuestra, no es buen profesor. No sabe transmitir el conocimiento, explica muy rápido y es cierto que le habla al tablero. Esto leva a que uno se pueda enredar. Uno debe estudiar autonomamente Pros: Siempre aclara dudas",3.3
